Participant,Response ID,Start Date,DATE_published,DIFF_time,AGE,GENDER,HebrewNativeLanguage,TPS1,TPS2,TPS3,TPS4,TPS5,TPS6,TPS7,TPS8,TPS9,TPS10,E1,A7,C1,N3,I1,E6,A1,C7,N1,I8,E2,A8,C2,N4,I2,E7,A2,C8,N2,I9,E3,A9,C3,N5,I3,E8,A3,C9,N6,I10,E4,A10,C4,N7,I4,E9,A4,C10,N8,I5,E5,A5,C5,N9,I6,E10,A6,C6,N10,I7
3,R_1InGZPjeLeAnPLd,3/14/2019 14:49,3/14/2019 13:54,0.04,24,F,Y,4,4,1,4,2,4,3,4,3,3,1,4,1,2,4,3,2,5,2,4,3,4,3,3,3,3,3,5,4,4,3,3,4,3,3,4,2,5,4,4,2,4,5,4,4,3,3,5,5,4,3,2,4,5,3,3,3,4,5,3
4,R_2YQi2j2Dt48dytv,3/14/2019 16:42,3/14/2019 13:54,0.12,23,F,Y,2,3,1,2,1,3,2,4,2,3,4,4,2,3,4,3,4,4,4,4,4,4,3,3,3,2,4,4,4,3,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,2,4,4,4,3,2,4,3,2,4,2,4,3,4,2
5,R_24PqEKwgKYEYgKy,3/15/2019 14:08,3/14/2019 13:54,1.01,23,F,Y,4,4,4,4,3,3,4,4,3,4,2,4,3,3,5,4,5,4,4,5,4,5,3,3,3,4,4,5,4,5,3,4,5,3,4,4,4,4,5,4,3,5,3,4,5,2,4,5,4,5,3,5,5,5,4,2,5,4,5,4
7,R_2qr7fpthnKxU1jb,3/18/2019 14:11,3/14/2019 13:54,4.01,23,F,Y,3,3,4,4,3,4,4,4,3,3,3,4,4,2,5,3,5,4,3,4,3,5,5,2,5,4,4,5,3,5,4,4,4,2,4,4,5,4,2,5,4,5,4,2,5,3,5,4,2,4,2,5,5,2,5,2,4,4,3,5
8,R_xFKFtCQ86a83BO9,3/18/2019 14:39,3/14/2019 13:54,4.03,23,F,Y,2,3,2,3,3,3,3,3,2,3,3,5,2,3,5,4,4,2,4,4,4,5,4,2,5,3,4,2,2,4,4,4,3,2,4,4,4,2,4,4,3,4,2,3,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,3
9,R_3Pot2U2g8v0AwST,3/18/2019 14:39,3/14/2019 13:54,4.03,25,F,N,3,3,2,3,3,3,2,3,2,2,4,3,2,3,3,4,4,2,4,4,3,4,4,3,4,4,4,2,3,4,3,4,4,3,4,4,4,3,4,4,2,4,3,3,5,3,2,3,4,3,3,4,4,4,2,3,3,4,4,4
12,R_tSWG8n77ZMJ87ZL,3/19/2019 12:59,3/14/2019 13:54,4.96,25,F,Y,3,3,2,2,2,3,2,3,2,2,3,3,2,4,3,4,4,1,4,3,3,4,2,5,5,4,4,1,3,5,4,3,2,4,4,5,4,1,4,5,3,4,2,3,4,4,4,4,4,3,3,4,4,4,3,3,3,2,4,4
13,R_SSFc8WoBe5wnez7,3/19/2019 20:17,3/14/2019 13:54,5.27,24,F,Y,4,4,3,3,3,4,3,3,4,3,4,4,3,2,5,5,4,5,3,5,4,5,4,2,5,4,4,5,2,4,4,4,4,3,4,5,5,5,4,5,5,4,5,3,4,4,4,4,4,4,4,4,4,3,5,4,4,5,4,5
14,R_1CBLb30thDthltN,3/19/2019 21:13,3/14/2019 13:54,5.31,23,F,Y,1,3,4,2,1,3,2,3,2,2,3,5,3,2,2,4,5,2,2,4,3,5,4,2,3,4,5,1,1,5,5,5,1,2,4,5,5,1,1,3,4,5,4,1,4,3,4,2,1,3,2,5,3,4,5,2,5,4,1,4
15,R_3fjAkmb0W0PRcEt,3/20/2019 10:02,3/14/2019 13:54,5.84,23,F,Y,3,3,2,2,2,3,4,2,2,3,4,4,4,4,5,5,5,1,2,4,5,4,4,2,5,4,4,2,4,5,4,5,3,4,4,5,5,1,3,5,4,5,3,4,4,4,5,4,3,4,4,4,4,4,4,4,4,3,4,4
17,R_r6apoBjY5UB1uP7,3/21/2019 0:29,3/14/2019 13:54,6.44,41,F,Y,2,2,2,2,2,2,3,3,2,2,4,4,4,3,4,3,4,2,2,2,3,5,4,2,4,4,4,2,2,4,4,4,2,2,4,4,5,2,2,4,4,4,3,2,4,3,4,3,2,4,3,4,3,3,3,3,4,4,3,4
18,R_3gTuZiwkfnaScgB,3/21/2019 13:57,3/14/2019 13:54,7.00,30,F,Y,2,2,1,2,1,3,3,4,2,2,5,4,2,2,4,5,4,2,1,5,5,3,4,2,5,5,4,2,3,3,4,4,2,2,5,5,4,2,2,5,4,4,2,3,5,5,5,1,1,5,5,5,2,2,4,5,5,3,3,5
19,R_3iPiAVwudk44df5,3/21/2019 13:52,3/14/2019 13:54,7.00,24,F,Y,4,4,4,4,4,4,4,2,3,4,4,4,4,2,3,5,4,3,2,5,5,5,5,2,4,4,4,3,3,4,5,5,5,2,3,5,5,4,4,4,4,5,3,4,5,4,5,4,4,3,4,4,5,4,4,4,4,4,4,4
20,R_0pkZ2hTXweN1b1L,3/21/2019 18:32,3/14/2019 13:54,7.19,23,F,Y,1,1,1,2,2,3,3,3,1,2,3,4,2,2,5,4,5,5,4,5,4,5,4,3,5,3,5,4,3,5,2,5,1,3,5,5,5,5,5,5,3,5,4,1,5,4,4,3,2,4,3,5,3,5,5,2,3,3,5,5
22,R_BWdAsdW3bDrG4Y9,3/14/2019 16:40,3/14/2019 13:54,0.12,23,F,Y,2,2,1,2,2,2,2,2,2,2,2,4,2,2,4,4,4,4,4,5,4,4,4,2,3,4,4,4,3,4,2,4,2,3,3,5,4,4,4,4,2,4,3,4,4,2,4,4,5,3,4,4,4,4,2,2,4,4,4,3
23,R_2RQA7kGEEllG5BU,3/23/2019 13:57,3/14/2019 13:54,9.00,24,F,Y,3,2,2,3,2,3,3,3,2,3,2,4,3,4,4,2,4,5,4,4,3,5,4,4,4,3,4,5,3,3,2,4,3,4,3,3,4,5,4,4,2,4,5,2,4,2,4,4,3,3,2,4,4,4,4,2,4,4,4,3
24,R_33fjnFUY52umc4W,3/23/2019 16:18,3/14/2019 13:54,9.10,23,F,N,2,4,2,2,1,2,1,3,3,1,4,4,4,1,3,4,4,5,1,2,2,5,5,1,3,2,3,5,1,3,1,5,2,1,3,2,4,5,1,3,1,5,5,1,4,4,4,2,3,4,2,5,5,2,4,1,4,5,1,2
25,R_6R6A7yqKLR9xpdL,3/23/2019 17:50,3/14/2019 13:54,9.16,26,F,Y,3,3,3,2,3,3,3,2,3,3,3,4,4,3,5,5,4,1,4,5,5,5,5,2,3,4,4,1,4,3,5,5,4,4,3,5,4,1,4,3,5,5,4,4,4,3,4,5,5,4,5,5,5,5,3,5,5,4,5,3
26,R_2YKU6gJhHY6mi1M,3/23/2019 19:19,3/14/2019 13:54,9.23,25,F,N,3,4,2,3,2,3,3,3,3,2,3,5,4,1,4,3,4,2,2,2,4,4,5,1,5,4,5,1,3,3,3,4,3,2,4,4,5,2,2,5,3,4,3,2,3,3,4,4,2,5,3,5,4,2,4,2,5,4,2,4
27,R_1psSjM426czjh2p,3/25/2019 9:12,3/14/2019 13:54,10.80,25,other/rather not indicate,Y,3,3,3,2,4,3,4,2,2,3,3,4,4,5,5,3,4,3,4,3,5,4,4,4,5,3,4,2,1,4,4,5,3,4,5,5,5,5,4,5,3,5,2,5,5,2,4,5,4,4,4,4,5,5,4,3,3,3,5,5
28,R_3MnZfzDX0KpExnW,3/25/2019 11:15,3/14/2019 13:54,10.89,26,F,N,2,3,2,2,2,3,3,3,3,2,3,4,4,2,4,3,4,4,2,4,4,4,4,2,3,3,4,4,4,4,3,4,3,2,3,4,4,4,2,3,3,4,4,2,4,3,4,4,2,3,3,4,3,4,4,3,4,4,2,3
29,R_3nOBnSnssMxL3eu,3/24/2019 19:43,3/14/2019 13:54,10.24,27,F,Y,2,1,4,2,1,3,2,1,1,2,2,4,3,4,5,3,4,4,3,4,5,5,5,3,4,3,4,5,3,4,3,4,2,3,3,4,4,4,4,4,3,4,4,3,4,2,4,4,4,4,2,4,4,4,3,4,5,4,4,4
30,R_eyfDSrE67AlJrAl,3/25/2019 14:26,3/14/2019 13:54,11.02,26,F,Y,3,3,4,4,3,3,4,3,3,4,4,4,4,4,4,5,4,5,3,4,5,4,4,3,4,5,4,5,2,4,4,5,3,4,4,5,5,4,4,5,5,4,5,4,3,4,4,5,4,4,1,5,4,4,3,5,4,5,5,4
32,R_OfDvfYx6BuagdY5,3/24/2019 20:21,3/14/2019 13:54,10.27,26,F,Y,1,2,1,2,1,2,2,3,1,2,3,4,4,4,3,3,5,2,3,5,4,5,5,1,5,3,4,1,4,5,4,5,2,3,3,3,5,2,4,5,3,5,4,2,5,3,5,4,3,3,4,5,2,4,5,1,5,5,4,4
33,R_1K26xh2Vx8lfy7X,3/26/2019 12:05,3/14/2019 13:54,11.92,26,F,Y,2,2,3,2,2,3,2,3,2,2,4,4,3,3,4,4,4,5,3,5,3,5,5,3,5,3,3,5,2,5,2,5,2,3,5,5,4,5,4,5,2,5,5,2,5,3,4,4,2,5,5,5,3,5,4,1,5,5,3,5
34,R_20S7rBMYVdKjuoU,3/27/2019 17:22,3/14/2019 13:54,13.15,24,F,Y,2,2,3,2,2,3,3,3,1,2,5,4,4,1,5,5,4,1,1,4,5,3,4,2,4,4,4,1,4,4,5,5,2,2,4,5,5,1,3,4,5,5,2,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,4,4
35,R_2tgRByfR2AsgFQq,3/27/2019 20:08,3/14/2019 13:54,13.26,26,F,N,1,1,1,2,1,3,2,2,2,1,3,3,2,1,5,3,4,2,2,5,1,4,4,1,5,3,3,4,2,4,1,3,2,2,3,4,4,2,2,5,1,4,4,2,4,2,3,3,2,5,3,4,1,2,3,1,4,2,2,3
36,R_4Id0P7zEXX6WPYt,3/26/2019 17:06,3/14/2019 13:54,12.13,24,F,Y,2,1,1,2,2,3,2,3,2,2,2,2,4,4,5,5,5,2,4,2,4,5,4,3,5,4,5,1,3,5,5,5,1,4,4,4,4,2,4,5,4,5,3,4,3,1,5,4,4,4,2,4,5,4,4,4,5,3,5,4
41,R_264NwZX74cgZ8sT,3/14/2019 15:45,3/14/2019 13:54,0.08,26,M,Y,3,3,2,3,3,3,4,3,2,3,3,2,4,5,4,3,4,3,4,4,4,5,4,4,4,3,4,4,1,5,4,4,3,5,4,5,4,5,5,5,4,4,3,5,4,4,4,5,5,4,2,4,4,5,4,4,4,4,5,4
42,R_3m1xzGBQAKRpy3R,3/14/2019 16:34,3/14/2019 13:54,0.11,27,M,Y,3,3,3,3,3,3,4,3,3,3,2,3,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,3,4,4,4,3,4,4,4,4,4,2,4,5,4,3,3,4,5,4,4,3,4,5,4,5,2,4,3,4,3
43,R_1CEise3gEMAwtXo,3/14/2019 17:39,3/14/2019 13:54,0.16,25,M,Y,2,4,1,2,1,2,1,1,1,1,3,4,2,1,5,5,4,2,2,4,1,3,4,2,4,3,3,2,2,5,4,4,1,1,5,5,3,1,2,5,2,4,3,2,5,4,4,2,1,4,3,4,2,2,4,2,2,3,1,5
44,R_BMx84tQbU5qtdzr,3/17/2019 10:09,3/14/2019 13:54,2.84,25,M,Y,3,4,3,4,3,3,4,2,3,3,4,4,3,2,3,5,5,5,3,4,5,5,4,3,5,5,5,5,3,3,4,4,4,2,4,5,5,5,4,5,5,5,5,4,4,4,4,5,5,4,5,5,4,4,4,5,5,5,4,5
45,R_1jQ8bJgO5NJjuDu,3/17/2019 18:21,3/14/2019 13:54,3.19,28,M,Y,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,4,4,2,4,2,3,3,2,2,2,4,4,2,4,2,4,2,2,2,2,4,4,2,3,2,4,3,2,4,2,3,3,2,3,2,4,2,2,4,2,2,2,2,2
46,R_21aAeSL6z1iwZ33,3/17/2019 18:22,3/14/2019 13:54,3.19,24,M,Y,3,4,2,4,2,3,3,3,2,3,3,5,4,2,5,5,5,2,4,5,4,4,4,3,5,4,4,2,3,5,4,4,2,3,3,4,4,2,3,5,4,3,3,3,4,3,4,4,3,4,3,5,4,3,5,3,5,3,3,5
47,R_0q4vRTa5J3kWQbn,3/18/2019 17:33,3/14/2019 13:54,4.15,24,M,Y,3,3,2,3,2,3,2,3,2,3,2,4,4,4,5,3,4,4,4,4,2,4,5,4,5,4,4,4,4,4,2,4,2,4,4,2,5,4,4,5,2,4,4,5,4,4,4,4,5,4,4,4,4,4,4,2,5,4,4,5
48,R_Zn9lBfg1vSvV6nf,3/19/2019 12:16,3/14/2019 13:54,4.93,26,M,Y,1,3,3,1,3,3,3,3,2,1,2,3,3,2,3,3,2,2,4,3,4,3,4,4,2,5,5,2,4,2,3,3,4,3,3,3,4,3,2,3,4,3,2,5,5,3,4,3,2,3,4,4,4,4,2,2,3,3,2,2
49,R_3QKwbf02qDhwa3x,3/19/2019 8:54,3/14/2019 13:54,4.79,23,M,Y,2,2,2,2,2,3,2,2,2,2,4,3,4,2,4,2,4,2,4,5,4,5,4,2,4,3,4,2,3,4,3,4,2,4,4,3,4,2,4,5,3,4,2,2,5,3,4,3,3,3,4,4,4,4,4,2,5,3,3,4
51,R_ZBSM4hOVVUomfHH,3/20/2019 20:43,3/14/2019 13:54,6.28,24,M,Y,3,3,3,3,2,3,3,3,3,3,2,4,3,3,3,3,4,1,4,5,2,5,3,3,3,2,4,1,2,5,3,4,4,3,4,4,4,1,3,4,2,4,2,4,5,2,4,4,4,3,3,4,3,5,4,1,3,4,3,4
52,R_28UJiqMyV9GHt3B,3/21/2019 13:46,3/14/2019 13:54,6.99,27,F,Y,2,3,1,2,3,3,4,3,3,3,3,4,2,5,4,4,5,2,4,5,5,4,4,4,5,3,4,2,4,5,4,4,3,4,4,5,4,2,4,5,4,5,2,3,4,3,4,4,4,4,4,4,4,5,5,4,3,3,5,5
53,R_2PAopzMk6JGgD7z,3/14/2019 15:26,3/14/2019 13:54,0.06,25,other/rather not indicate,Y,3,4,2,3,2,3,3,3,3,3,3,4,3,5,4,4,4,5,5,5,4,4,4,4,3,4,4,5,2,3,3,4,3,5,4,4,4,5,5,4,3,4,4,3,4,2,3,5,4,4,3,4,4,5,3,2,4,4,4,3
54,R_2XcdSsFxf77fzt2,3/21/2019 19:40,3/14/2019 13:54,7.24,26,M,Y,4,3,3,3,2,3,2,3,3,3,2,4,2,4,3,4,4,3,4,4,4,4,3,4,5,3,4,3,3,3,3,4,4,4,4,4,4,4,4,5,3,4,4,2,4,2,4,4,3,3,4,4,4,3,5,3,3,4,3,5
55,R_1dcaZstYFUAzCP6,3/14/2019 19:54,3/14/2019 13:54,0.25,24,M,Y,3,1,2,2,1,2,2,2,1,2,4,4,3,3,3,4,4,4,4,3,4,4,4,3,3,4,4,4,3,3,4,4,2,3,3,4,4,4,4,3,3,4,4,2,3,3,3,3,3,3,3,2,2,5,4,3,3,2,3,3
56,R_1pFMUTQZGq4g0Mn,3/23/2019 11:58,3/14/2019 13:54,8.92,28,M,Y,2,4,2,3,3,3,4,3,2,4,2,4,3,4,5,3,4,5,4,5,1,5,4,3,4,3,4,5,3,3,1,5,3,4,4,4,4,4,4,4,2,4,4,3,4,3,4,5,4,4,4,4,4,2,3,4,3,4,5,5
57,R_3Hw6NOyQYhLxjjS,3/23/2019 21:19,3/14/2019 13:54,9.31,25,M,Y,2,3,1,4,1,3,1,2,2,2,3,5,3,4,4,3,4,4,5,5,4,3,4,2,4,2,4,3,3,5,3,5,1,2,4,3,5,5,2,5,2,5,5,5,3,4,4,4,4,5,4,4,4,5,5,1,3,4,4,4
58,R_3EaQcXvPAWXogQC,3/25/2019 8:15,3/14/2019 13:54,10.76,26,M,Y,3,3,3,3,3,2,3,3,2,2,2,4,2,3,4,4,4,2,3,4,3,4,3,3,3,3,4,2,2,4,3,4,3,3,3,3,4,3,3,3,2,4,2,2,3,2,3,4,2,3,2,4,4,3,3,3,3,3,3,3
59,R_3fkHA0gFbu9NwAk,3/25/2019 15:34,3/14/2019 13:54,11.07,27,M,Y,2,4,3,2,2,3,2,3,2,2,1,4,3,4,3,3,3,4,4,4,3,4,2,4,3,3,3,4,2,4,3,4,2,3,3,3,3,4,4,3,2,4,4,4,3,3,4,5,4,3,3,3,5,3,5,3,3,5,3,3
60,R_1DI5czWHp6K0WPl,3/25/2019 16:27,3/14/2019 13:54,11.11,25,M,Y,3,3,3,3,3,3,4,3,3,3,3,5,2,2,5,4,4,5,2,4,4,5,4,2,3,3,5,5,2,3,3,5,4,2,3,4,4,4,1,3,2,5,5,2,3,2,3,4,2,5,3,4,4,2,4,3,3,4,2,2
61,R_3FOlV7EdAJNmtxG,3/26/2019 21:13,3/14/2019 13:54,12.31,30,M,Y,2,1,1,2,2,2,2,2,1,2,1,3,4,3,3,1,4,2,4,4,2,5,3,2,4,2,3,2,2,5,2,4,1,2,3,3,4,4,2,3,4,4,4,1,2,1,4,3,2,3,1,4,4,4,3,1,3,2,3,3
62,R_3EW10gYuF7zIfO1,3/19/2019 21:15,3/14/2019 13:54,5.31,26,other/rather not indicate,Y,3,3,3,3,2,3,3,3,2,3,3,4,4,1,4,5,5,2,2,5,4,3,5,2,5,3,5,2,3,5,4,4,4,2,3,4,4,1,2,5,4,4,3,3,4,3,4,4,3,4,3,5,4,1,5,4,4,4,4,5
63,R_1pru2iMSt2y1yXb,3/28/2019 9:52,3/14/2019 13:54,13.83,23,other/rather not indicate,Y,2,1,1,2,2,2,4,3,2,1,3,5,3,2,4,4,5,2,4,5,4,5,5,2,4,3,5,2,2,5,4,5,2,2,4,4,5,3,2,5,4,5,3,3,5,3,5,3,3,3,4,5,2,3,4,4,4,3,4,5
64,R_1LAL0UgNG7QI7PQ,3/27/2019 21:23,3/14/2019 13:54,13.31,24,F,Y,2,1,1,2,2,3,3,3,1,2,2,5,3,4,5,4,5,2,4,5,4,4,4,4,4,2,4,2,4,4,5,5,4,4,4,4,5,2,4,5,4,5,3,5,4,2,4,5,4,4,2,4,4,4,4,4,4,2,4,4
